schedule_id,template_id,object_type,display_text,canonical_code,row_id,row_index,day,bbox_px,cell_polygon,text_polygon,text_polygon_source,visibility,ignore,text_polygon_validation_max_error_px,image_path,image_width,image_height
schedule_0001,compact_summary,title,[ 2026. 10월 ] 합성 병동 근무표,,,,,"[0, 0, 3652, 76]","[[0, 0], [3652, 0], [3652, 76], [0, 76]]","[[1536.9551916292464, 18.854196272694097], [2116.0448083707533, 18.854196272694097], [2116.0448083707533, 60.1458037273059], [1536.9551916292464, 60.1458037273059]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,page_label,페이지 1/5,,,,,"[3652, 0, 3868, 76]","[[3652, 0], [3868, 0], [3868, 76], [3652, 76]]","[[3818.8782546886705, 49.69844399430829], [3698.9334086176864, 48.180154803536354], [3699.2300439335663, 24.745964849011166], [3819.1748900045504, 26.2642540397831]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,group_header,병동,,,,,"[0, 76, 128, 184]","[[0, 76], [128, 76], [128, 184], [0, 184]]","[[91.18236658078517, 117.88654766286471], [91.18236658078517, 145.1134523371353], [37.81763341921483, 145.1134523371353], [37.81763341921483, 117.88654766286471]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,name_header,성명,,,,,"[128, 76, 352, 184]","[[128, 76], [352, 76], [352, 184], [128, 184]]","[[212.21847626058354, 118.09105931662425], [264.78152373941646, 118.09105931662425], [264.78152373941646, 144.90894068337576], [212.21847626058354, 144.90894068337576]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,1,,,,1,"[352, 76, 448, 130]","[[352, 76], [448, 76], [448, 130], [352, 130]]","[[394.23850038949143, 92.15064380305057], [402.76149961050857, 92.15064380305057], [402.76149961050857, 112.84935619694943], [394.23850038949143, 112.84935619694943]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,목,,,,1,"[352, 130, 448, 184]","[[352, 130], [448, 130], [448, 184], [352, 184]]","[[385.45664800271186, 162.92362398999586], [392.30249915272043, 140.10412015663385], [414.8094070431597, 146.8561925237656], [407.9635558931511, 169.67569635712763]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,2,,,,2,"[448, 76, 544, 130]","[[448, 76], [544, 76], [544, 130], [448, 130]]","[[488.91349744368546, 92.3208596856957], [502.08650255631454, 92.3208596856957], [502.08650255631454, 112.6791403143043], [488.91349744368546, 112.6791403143043]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,금,,,,2,"[448, 130, 544, 184]","[[448, 130], [544, 130], [544, 184], [448, 184]]","[[483.5857864376269, 144.5857864376269], [507.4142135623731, 144.5857864376269], [507.4142135623731, 168.4142135623731], [483.5857864376269, 168.4142135623731]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,3,,,,3,"[544, 76, 640, 130]","[[544, 76], [640, 76], [640, 130], [544, 130]]","[[584.957099981092, 92.29343633269607], [598.042900018908, 92.29343633269607], [598.042900018908, 113.70656366730393], [584.957099981092, 113.70656366730393]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,토,,,,3,"[544, 130, 640, 184]","[[544, 130], [640, 130], [640, 184], [544, 184]]","[[579.445510258585, 145.74160354266408], [603.554489741415, 145.74160354266408], [603.554489741415, 165.25839645733592], [579.445510258585, 165.25839645733592]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,4,,,,4,"[640, 76, 736, 130]","[[640, 76], [736, 76], [736, 130], [640, 130]]","[[678.0193366448308, 107.16773913671997], [689.3924137451488, 90.92048613626577], [701.5578445632228, 99.43628770891769], [690.1847674629049, 115.6835407093719]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,일,,,,4,"[640, 130, 736, 184]","[[640, 130], [736, 130], [736, 184], [640, 184]]","[[676.7335244194854, 143.45208540159337], [697.2664755805146, 143.45208540159337], [697.2664755805146, 168.54791459840663], [676.7335244194854, 168.54791459840663]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,5,,,,5,"[736, 76, 832, 130]","[[736, 76], [832, 76], [832, 130], [736, 130]]","[[776.957099981092, 92.29343633269607], [790.042900018908, 92.29343633269607], [790.042900018908, 113.70656366730393], [776.957099981092, 113.70656366730393]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,월,,,,5,"[736, 130, 832, 184]","[[736, 130], [832, 130], [832, 184], [736, 184]]","[[771.6927602593078, 143.4863539844617], [793.3072397406922, 143.4863539844617], [793.3072397406922, 168.5136460155383], [771.6927602593078, 168.5136460155383]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,6,,,,6,"[832, 76, 928, 130]","[[832, 76], [928, 76], [928, 130], [832, 130]]","[[872.957099981092, 92.29343633269607], [886.042900018908, 92.29343633269607], [886.042900018908, 113.70656366730393], [872.957099981092, 113.70656366730393]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,화,,,,6,"[832, 130, 928, 184]","[[832, 130], [928, 130], [928, 184], [832, 184]]","[[866.2909244767476, 167.15521866409716], [867.9461223128955, 142.32725112187904], [893.2975710984736, 144.01734770758424], [891.6423732623257, 168.84531524980235]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,7,,,,7,"[928, 76, 1024, 130]","[[928, 76], [1024, 76], [1024, 130], [928, 130]]","[[968.9134974436854, 92.3208596856957], [982.0865025563146, 92.3208596856957], [982.0865025563146, 112.6791403143043], [968.9134974436854, 112.6791403143043]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,수,,,,7,"[928, 130, 1024, 184]","[[928, 130], [1024, 130], [1024, 184], [928, 184]]","[[976.9412164834017, 171.41651142585417], [960.0829080997185, 156.4313484181357], [973.7346455855637, 141.07314374655962], [990.5929539692471, 156.05830675427808]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,8,,,,8,"[1024, 76, 1120, 130]","[[1024, 76], [1120, 76], [1120, 130], [1024, 130]]","[[1064.9570999810921, 92.29343633269607], [1078.0429000189079, 92.29343633269607], [1078.0429000189079, 113.70656366730393], [1064.9570999810921, 113.70656366730393]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,목,,,,8,"[1024, 130, 1120, 184]","[[1024, 130], [1120, 130], [1120, 184], [1024, 184]]","[[1057.4566480027117, 162.9236239899958], [1064.3024991527204, 140.10412015663383], [1086.8094070431598, 146.8561925237656], [1079.9635558931511, 169.6756963571276]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,9,,,,9,"[1120, 76, 1216, 130]","[[1120, 76], [1216, 76], [1216, 130], [1120, 130]]","[[1160.9570999810921, 92.29343633269607], [1174.0429000189079, 92.29343633269607], [1174.0429000189079, 113.70656366730393], [1160.9570999810921, 113.70656366730393]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,금,,,,9,"[1120, 130, 1216, 184]","[[1120, 130], [1216, 130], [1216, 184], [1120, 184]]","[[1155.585786437627, 144.5857864376269], [1179.414213562373, 144.5857864376269], [1179.414213562373, 168.4142135623731], [1155.585786437627, 168.4142135623731]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,10,,,,10,"[1216, 76, 1312, 130]","[[1216, 76], [1312, 76], [1312, 130], [1216, 130]]","[[1250.4, 92.8], [1277.6, 92.8], [1277.6, 113.2], [1250.4, 113.2]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,토,,,,10,"[1216, 130, 1312, 184]","[[1216, 130], [1312, 130], [1312, 184], [1216, 184]]","[[1251.445510258585, 145.74160354266408], [1275.554489741415, 145.74160354266408], [1275.554489741415, 165.25839645733592], [1251.445510258585, 165.25839645733592]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,11,,,,11,"[1312, 76, 1408, 130]","[[1312, 76], [1408, 76], [1408, 130], [1312, 130]]","[[1346.445510258585, 92.74160354266407], [1370.554489741415, 92.74160354266407], [1370.554489741415, 112.25839645733593], [1346.445510258585, 112.25839645733593]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,일,,,,11,"[1312, 130, 1408, 184]","[[1312, 130], [1408, 130], [1408, 184], [1312, 184]]","[[1348.7335244194855, 143.45208540159337], [1369.2664755805145, 143.45208540159337], [1369.2664755805145, 168.54791459840663], [1348.7335244194855, 168.54791459840663]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,12,,,,12,"[1408, 76, 1504, 130]","[[1408, 76], [1504, 76], [1504, 130], [1408, 130]]","[[1442.3679510377967, 92.84396531843932], [1469.6320489622033, 92.84396531843932], [1469.6320489622033, 112.15603468156068], [1442.3679510377967, 112.15603468156068]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,월,,,,12,"[1408, 130, 1504, 184]","[[1408, 130], [1504, 130], [1504, 184], [1408, 184]]","[[1443.6927602593078, 143.4863539844617], [1465.3072397406922, 143.4863539844617], [1465.3072397406922, 168.5136460155383], [1443.6927602593078, 168.5136460155383]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,13,,,,13,"[1504, 76, 1600, 130]","[[1504, 76], [1600, 76], [1600, 130], [1504, 130]]","[[1538.4, 92.8], [1565.6, 92.8], [1565.6, 113.2], [1538.4, 113.2]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,화,,,,13,"[1504, 130, 1600, 184]","[[1504, 130], [1600, 130], [1600, 184], [1504, 184]]","[[1538.2909244767475, 167.15521866409716], [1539.9461223128956, 142.32725112187904], [1565.2975710984736, 144.01734770758424], [1563.6423732623257, 168.84531524980235]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,14,,,,14,"[1600, 76, 1696, 130]","[[1600, 76], [1696, 76], [1696, 130], [1600, 130]]","[[1634.3461469958609, 92.87537995718544], [1662.6538530041391, 92.87537995718544], [1662.6538530041391, 112.12462004281456], [1634.3461469958609, 112.12462004281456]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,수,,,,14,"[1600, 130, 1696, 184]","[[1600, 130], [1696, 130], [1696, 184], [1600, 184]]","[[1648.9412164834018, 171.4165114258544], [1632.0829080997185, 156.43134841813568], [1645.7346455855636, 141.07314374655962], [1662.5929539692472, 156.05830675427833]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,15,,,,15,"[1696, 76, 1792, 130]","[[1696, 76], [1792, 76], [1792, 130], [1696, 130]]","[[1730.4, 92.8], [1757.6, 92.8], [1757.6, 113.2], [1730.4, 113.2]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,목,,,,15,"[1696, 130, 1792, 184]","[[1696, 130], [1792, 130], [1792, 184], [1696, 184]]","[[1729.456648002712, 162.9236239899959], [1736.3024991527207, 140.10412015663383], [1758.8094070431598, 146.8561925237656], [1751.9635558931511, 169.67569635712766]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,16,,,,16,"[1792, 76, 1888, 130]","[[1792, 76], [1888, 76], [1888, 130], [1792, 130]]","[[1826.4, 92.8], [1853.6, 92.8], [1853.6, 113.2], [1826.4, 113.2]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,금,,,,16,"[1792, 130, 1888, 184]","[[1792, 130], [1888, 130], [1888, 184], [1792, 184]]","[[1827.585786437627, 144.5857864376269], [1851.414213562373, 144.5857864376269], [1851.414213562373, 168.4142135623731], [1827.585786437627, 168.4142135623731]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,date_header,17,,,,17,"[1888, 76, 1984, 130]","[[1888, 76], [1984, 76], [1984, 130], [1888, 130]]","[[1922.3679510377967, 92.84396531843932], [1949.6320489622033, 92.84396531843932], [1949.6320489622033, 112.15603468156068], [1922.3679510377967, 112.15603468156068]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
schedule_0001,compact_summary,weekday_header,토,,,,17,"[1888, 130, 1984, 184]","[[1888, 130], [1984, 130], [1984, 184], [1888, 184]]","[[1923.445510258585, 145.74160354266408], [1947.554489741415, 145.74160354266408], [1947.554489741415, 165.25839645733592], [1923.445510258585, 165.25839645733592]]",glyph_mask,1,False,0.0,images/schedule_0001_compact_summary.png,3868,1416
